#{"t_start": 1787787329.2431824, "env_id": "Ant-v5"}
r,l,t
58.309537,59,0.674043
-3.477864,13,0.690933
36.952078,52,0.758485
34.492484,34,0.802936
45.697355,47,0.864251
57.124547,46,0.924255
27.14202,65,1.010121
35.113763,62,1.092787
19.994764,32,1.134992
49.109335,38,1.185054
5.790642,12,1.20103
46.893665,41,1.25453
30.299577,25,1.287318
18.640928,30,1.326648
9.277805,14,1.344671
36.006351,34,1.38801
10.571658,14,1.405941
47.815599,65,1.489764
17.227429,23,1.519171
152.055421,179,1.751086
10.251812,11,1.765188
216.845875,240,2.074063
-0.679106,23,2.103992
10.205467,20,2.129261
10.665491,30,2.167231
17.426793,33,2.20915
172.311926,130,2.373461
131.073993,175,2.594322
15.924993,15,2.61296
222.568673,267,2.955969
41.272675,54,3.023599
61.115492,59,3.098648
55.283281,36,3.144251
929.811052,1000,5.203396
-1.323503,31,5.243213
25.430758,18,5.266489
5.649219,18,5.289683
14.922767,14,5.308127
124.152693,74,5.403176
933.457075,1000,7.385371
21.786716,26,7.419518
57.452579,97,7.545765
49.852155,44,7.602887
5.517261,14,7.621559
18.688226,52,7.690432
26.136779,47,7.751668
60.973693,43,7.808173
46.375625,23,7.839184
13.54628,27,7.875446
24.979501,25,7.908404
41.09693,81,8.014995
19.061081,33,8.0582
23.599812,29,8.096144
7.961424,13,8.113206
31.945296,23,8.143107
14.256486,15,8.16264
-8.535436,55,8.236444
14.576748,21,8.263618
17.499929,23,8.293459
948.183463,1000,9.604067
37.797274,55,9.67553
24.957602,25,9.707543
0.611827,25,9.739399
132.110052,83,9.84795
60.909315,60,9.926574
18.312375,21,9.953841
11.971257,16,9.974417
5.024988,14,9.99267
108.804626,91,10.752127
23.714479,33,10.794361
167.460424,124,10.954474
21.637794,26,10.987725
2.678141,10,11.001059
136.888079,118,11.153578
145.170117,180,11.390819
-2.547315,13,11.407469
34.832041,40,11.459759
94.861089,60,11.536906
17.171069,79,11.640519
11.76405,27,11.675589
19.367577,28,11.712156
23.905521,29,11.750139
79.256854,67,11.83648
99.333291,99,11.965896
23.322376,48,12.029516
48.202595,42,12.084709
42.699059,115,12.235498
114.704621,60,12.314305
23.823436,47,12.377322
53.970756,32,12.41888
21.097485,20,12.445152
203.63157,181,12.687644
149.136212,177,12.918054
66.329587,88,13.033159
4.333665,11,13.047252
84.874221,103,13.181151
12.223568,16,13.20153
102.765884,80,13.301791
69.547845,54,13.940121
104.6271,52,14.008847
41.275809,23,14.03916
-0.63285,16,14.060352
28.353262,74,14.156919
57.117957,37,14.206395
181.206887,176,14.436574
11.646629,41,14.491909
108.625564,91,14.609844
27.073378,33,14.652528
9.484428,14,14.670653
19.025245,19,14.69535
36.484229,39,14.747274
10.625797,23,14.777645
48.625403,41,14.830817
28.514748,17,14.852872
72.395635,57,14.926136
37.041033,18,14.950055
17.116422,25,14.982914
6.05612,14,15.001491
72.174612,39,15.053431
55.88175,84,15.163187
111.117877,138,15.343319
50.815271,53,15.41419
31.99186,48,15.476652
150.540343,136,15.655207
7.636208,18,15.678947
-8.633245,57,15.755778
50.714666,38,15.805551
46.330119,30,15.845666
51.992933,29,15.884615
63.925591,56,15.959567
153.258005,149,16.156275
11.888031,9,16.168376
20.682972,28,16.204614
53.766813,30,16.243942
15.243042,20,16.269994
44.043329,47,16.331864
8.246867,33,16.376646
80.854475,82,16.487694
13.982495,13,16.505445
39.532549,38,16.555028
20.22391,27,16.590174
49.164619,87,17.083601
217.772334,153,17.286985
12.063982,42,17.344499
7.558984,12,17.360372
27.322951,21,17.387772
3.466401,51,17.454388
84.641074,70,17.546187
94.519681,72,17.641384
40.357786,33,17.685019
28.583699,45,17.745371
14.631125,10,17.758748
35.943209,28,17.795742
19.344087,22,17.82498
183.526256,128,17.993597
26.001124,33,18.036702
114.959593,82,18.146911
6.97486,11,18.161323
13.171209,16,18.182266
140.549626,155,18.387022
25.671019,25,18.419521
921.429349,1000,20.109573
190.070412,202,20.37699
135.16874,144,20.568129
98.792552,91,20.688195
11.423035,21,20.716207
149.59464,114,20.866584
1046.143587,1000,22.176727
9.161598,16,22.19761
1033.571322,1000,24.082154
83.500646,76,24.183047
45.705768,46,24.245597
25.089715,23,24.276613
55.566208,59,24.355121
955.886053,1000,25.698367
1011.954821,1000,27.340685
20.012219,60,27.419394
80.09039,60,27.49872
126.188527,100,27.631627
138.156569,111,27.775774
954.845228,1000,29.527896
43.135013,68,29.618109
142.53727,177,29.85301
51.879707,63,29.937076
141.278764,106,30.077642
65.201999,67,30.167536
28.937466,25,30.200562
61.560353,86,30.315559
23.946257,29,30.353709
976.561948,1000,31.685997
26.505013,36,31.733223
1030.65381,1000,33.474485
103.578414,89,33.591075
37.728763,47,33.653032
22.242804,26,33.68661
143.498144,149,33.881569
49.511064,41,33.935289
164.693213,186,34.178619
-3.24783,15,34.198149
8.887757,34,34.242466
-0.472353,13,34.259443
34.563905,53,34.32756
31.179293,33,34.36999
38.464519,18,34.393002
84.208537,92,34.511001
128.820918,87,34.62232
316.802337,222,34.911948
7.772124,26,34.945922
1033.214355,1000,36.716228
32.564499,36,36.762425
52.484107,29,36.801008
123.947066,89,36.916031
3.909786,14,36.934336
66.32901,29,36.972151
99.702305,100,37.102624
187.945535,174,37.334361
47.826592,64,37.419145
6.064174,16,37.440474
8.765212,14,37.458875
13.345139,17,37.481309
99.033956,155,37.688642
67.551499,121,37.84974
127.074625,102,37.985449
9.365647,12,38.001729
27.942978,33,38.045357
22.198861,25,38.078039
52.265507,38,38.128132
65.52414,53,38.197215
34.422973,46,38.259521
1068.786064,1000,39.814226
103.309702,75,39.9135
1037.912705,1000,41.28505
79.607279,94,41.410018
239.68378,142,41.93277
1008.743139,1000,43.279644
57.254689,66,43.367674
26.107687,52,43.437241
35.834607,43,43.494048
63.775808,54,43.565458
61.772587,97,43.693085
26.874885,49,43.756836
115.347684,181,43.993879
7.53357,24,44.025694
51.968123,65,44.113949
127.493527,96,44.242018
114.555205,109,44.388223
36.96143,70,44.482234
104.363631,117,44.905336
32.152311,29,44.944701
124.925115,138,45.130357
131.473236,145,45.328582
208.993842,154,45.534399
72.095798,86,45.648646
73.804402,33,45.692611
1057.930864,1000,47.04472
63.798623,35,47.092122
54.285414,65,47.179153
17.516732,20,47.205727
49.465742,77,47.30978
1065.703005,1000,48.981349
109.113978,138,49.165376
15.946518,24,49.197381
19.971291,21,49.225685
81.993243,101,49.360892
130.404328,98,49.492673
1094.184817,1000,51.329278
182.890388,200,51.596725
69.962586,113,51.744312
10.207552,16,51.765736
23.044473,19,51.791861
12.171504,14,51.810813
46.488759,18,51.83408
7.714963,27,51.869316
63.318523,74,51.9665
78.138933,64,52.050679
26.734389,35,52.095969
15.604114,22,52.124818
53.717939,90,52.242854
122.038065,85,52.353075
257.704502,224,52.6451
114.462231,145,52.839244
44.624405,38,52.889949
236.970734,143,53.080485
48.473512,56,53.15457
4.937874,12,53.170308
14.871546,32,53.212816
14.79488,22,53.241828
962.268305,1000,55.015886
40.174493,20,55.042732
48.810243,81,55.15089
98.772907,89,55.270954
353.319948,244,55.601125
110.359729,80,55.707674
146.689543,88,55.822927
1014.350681,1000,57.475844
36.079695,46,57.537209
14.701769,10,57.550831
977.707549,1000,58.908091
1012.411331,1000,60.569718
60.14328,56,60.643946
28.245271,34,60.690054
47.640505,58,60.767855
47.980657,28,60.805134
8.787105,14,60.824133
7.231987,8,60.834787
98.677431,66,60.92261
45.214399,52,60.991594
1004.541481,1000,62.334825
42.54743,43,62.392532
29.383985,29,62.431003
50.427734,60,62.512086
89.538061,95,62.637665
26.187246,25,62.670563
5.146231,14,62.689042
89.216976,47,62.750401
206.482439,161,62.963177
42.943897,42,63.018692
49.645495,38,63.068798
974.636288,1000,64.735646
280.66652,231,65.047276
