#{"t_start": 1787792945.2062597, "env_id": "Ant-v5"}
r,l,t
31.637073,51,0.69102
12.028678,18,0.716612
29.922615,51,0.786088
29.909334,35,0.83349
195.547536,158,1.046601
93.717009,70,1.140715
35.637976,56,1.216674
26.0568,19,1.242731
186.165009,133,1.426157
25.110351,19,1.451977
22.1211,29,1.491162
9.409537,15,1.511329
6.149449,15,1.531608
79.061978,81,1.64087
4.389476,17,1.664182
62.408121,31,1.706619
87.937096,52,1.77721
5.122823,13,1.795195
59.228388,50,1.863234
77.637625,51,1.934534
44.629368,29,1.973593
132.584672,93,2.10043
64.946761,54,2.175266
47.080124,63,2.261611
57.412196,57,2.339541
39.13348,44,2.400174
99.505554,66,2.491137
55.312097,70,2.587395
220.907977,213,2.875508
14.875256,16,2.897381
16.579352,30,2.938862
107.424179,69,3.032359
23.729896,37,3.083042
22.703145,33,3.128798
54.284397,38,3.18041
169.206742,140,3.374905
72.993486,41,4.512401
100.117981,75,4.619644
117.851419,61,4.702998
91.518465,50,4.7717
30.098207,35,4.819592
11.402131,15,4.840554
95.997609,75,4.94618
24.457221,15,4.966567
1172.781333,1000,6.347796
22.658428,13,6.365681
50.45342,36,6.414624
18.796429,20,6.442184
146.435243,118,6.603967
-7.963647,20,6.631891
111.145508,81,6.74554
169.792478,114,6.902343
1090.664868,1000,9.041988
16.223438,19,9.067644
111.165827,98,9.201799
23.66784,28,9.240602
44.652735,36,9.289918
76.250683,75,9.39476
36.29657,38,9.448247
32.500678,15,9.469177
75.591128,47,9.536674
109.368376,72,9.636018
26.854618,25,9.67065
128.661645,151,9.876458
-7.543809,28,9.915173
127.41785,165,10.14235
7.312264,17,10.165997
116.047317,95,10.297689
253.938721,266,10.663584
30.151818,33,10.708797
263.0083,199,11.703975
34.101001,15,11.725044
171.868985,107,11.872277
8.478213,44,11.933142
45.984894,43,11.993219
88.407795,83,12.10697
18.28026,27,12.145032
59.236814,51,12.215246
9.420089,22,12.245023
59.386201,40,12.299497
8.551212,14,12.318562
108.904777,79,12.426696
16.524639,24,12.458789
7.502359,12,12.474788
161.387271,128,12.650205
6.76096,16,12.672006
50.412754,56,12.75022
16.931731,19,12.776952
30.458519,45,12.839315
41.817629,34,12.886245
62.167467,71,12.985293
22.878919,18,13.010504
22.020486,28,13.049584
35.338872,49,13.11712
19.490298,22,13.147262
83.30082,76,13.252729
18.439331,22,13.282966
3.648239,33,13.328273
119.788375,94,13.466849
67.058637,119,13.630708
123.000963,100,13.769511
1038.700028,1000,16.082115
77.704043,66,16.173911
43.810284,26,16.209625
908.989527,1000,17.593346
52.058472,53,17.667192
32.80329,30,17.708529
80.672119,57,17.788261
95.884319,61,17.872938
61.799783,56,17.950688
149.273703,106,18.096986
53.44904,23,18.128746
33.461542,31,18.172565
22.658109,20,18.200665
141.791014,120,18.669708
28.751363,15,18.69025
123.859239,132,18.871098
74.19876,69,18.966444
899.209393,1000,20.403634
208.446637,155,20.628532
107.227075,96,20.762903
89.802274,70,20.859772
153.609719,121,21.028224
3.415372,12,21.044796
34.980879,54,21.11889
51.838719,44,21.179361
112.780103,117,21.341988
178.59527,139,22.057804
106.308495,148,22.266529
135.045274,126,22.446536
89.554569,79,22.5586
23.927272,35,22.60797
61.389016,38,22.666268
15.281843,17,22.690612
118.659893,100,22.832584
1011.862848,1000,24.318421
15.291986,16,24.341573
52.634454,36,24.393275
47.864213,29,24.43682
1360.218472,1000,26.352411
60.447703,50,26.42121
249.95208,178,26.667233
60.17867,32,26.710802
262.613773,162,26.937674
193.346804,125,27.112323
107.216537,62,27.19723
40.933186,53,27.269886
933.865792,1000,29.120217
253.164754,163,29.359479
134.402773,142,29.562072
28.523068,33,29.609505
984.216641,1000,31.018083
18.594979,30,31.060874
205.04303,161,31.287802
1259.150317,1000,32.917015
276.694513,191,33.1872
1137.134799,1000,34.60503
83.204402,90,34.727176
20.963381,18,34.752209
71.056596,56,35.14819
142.938726,111,35.306308
88.635989,54,35.383111
146.839068,82,35.499621
107.180878,84,35.617838
1413.728143,1000,37.040001
74.860214,78,37.144683
214.149774,221,37.445313
193.788512,212,37.73852
73.092524,53,37.814633
57.426893,41,37.870667
93.560495,71,38.329098
40.567874,53,38.406585
80.367175,43,38.470117
2.487063,28,38.509762
76.825431,59,38.593463
99.174047,72,38.696563
183.867208,101,38.840621
1246.082094,1000,40.232635
53.920613,39,40.288918
15.296639,25,40.326971
131.39797,113,40.484051
216.750712,137,40.671675
49.833593,60,40.75388
44.56173,45,40.816475
32.231977,33,40.865301
407.471474,311,41.74204
177.978646,170,41.989048
124.54006,205,42.296165
32.996028,23,42.330052
116.26383,90,42.459352
75.899539,69,42.557951
111.302732,94,42.694622
7.855258,21,42.726148
7.415619,17,42.751
104.788972,88,42.876565
29.83896,21,42.907553
-0.323067,16,42.930165
19.975723,11,42.946538
80.204276,87,43.066757
46.475912,48,43.130879
1030.762326,1000,44.531623
16.037195,19,44.98506
1156.121801,1000,46.418712
28.456996,25,46.454244
50.003239,48,46.520517
