#{"t_start": 1787827227.1868749, "env_id": "Ant-v5"}
r,l,t
2806.117927,1000,2.406664
1208.14232,396,3.021183
2594.996573,1000,7.737761
2623.550467,1000,9.32978
2150.689589,1000,14.257448
2713.749964,1000,15.851535
2926.695436,1000,20.764016
2216.803375,808,22.073728
2949.29733,1000,27.024461
648.516539,257,27.451644
2631.681753,1000,29.08645
439.186244,150,29.319172
2094.108095,1000,34.292154
2789.454402,1000,35.909402
1613.008216,573,36.83811
355.046903,136,40.393661
1243.164648,409,41.043341
2599.626196,1000,42.596589
1088.432242,417,43.239993
185.378695,75,43.35288
344.85979,117,46.720129
1320.993524,461,47.423618
209.451652,72,47.532324
2920.440022,1000,49.093375
2476.823214,823,53.705768
2335.353709,1000,55.307069
169.786082,58,55.397009
2704.95193,1000,60.477084
1708.364659,560,61.325038
3245.805263,1000,62.799665
2911.528849,1000,67.535803
1032.998864,338,68.108229
2142.114792,1000,70.290137
1228.438023,385,70.859015
2597.168029,1000,72.395538
2574.457183,1000,75.610693
2953.690914,1000,77.092102
581.237805,169,77.339773
313.724344,119,77.512693
2202.820297,729,81.727435
3001.900984,1000,83.183558
18.154516,11,83.200302
1256.296963,454,83.912429
2223.425916,1000,88.521598
2850.479776,1000,89.975754
3154.892977,1000,94.569955
3014.035723,1000,96.093446
2403.484417,1000,100.724473
1993.799209,626,101.648707
2849.265365,1000,103.571424
2690.277278,1000,105.066089
965.104514,335,105.581192
2812.708505,893,110.307398
2209.318813,1000,111.842626
2380.109094,848,116.231159
129.665514,41,116.295321
2862.189671,1000,117.818918
2181.210997,1000,121.599694
127.829446,60,121.697942
2448.878705,848,123.007
3202.036405,1000,128.192851
1112.790235,387,128.861655
3052.439025,1000,130.695407
505.962396,156,130.962284
1583.989191,567,132.699621
2707.597313,1000,134.515618
2279.338215,1000,138.46775
2901.73003,1000,140.232719
2659.264196,886,142.778372
921.285713,303,143.271312
2407.962049,1000,144.918147
2231.659039,1000,148.553558
2294.668406,1000,150.155314
2415.36246,1000,154.704387
3069.370188,1000,156.355228
2829.895565,1000,161.289002
1422.526422,485,162.0431
2493.391382,1000,163.672534
346.598611,115,163.854986
2723.713804,1000,168.933893
3051.14423,1000,170.557527
2895.370612,1000,175.708428
2249.66958,1000,177.427369
2903.358765,1000,179.959576
2841.401261,1000,182.162022
2798.365694,1000,190.561956
2612.835382,1000,192.793167
3008.6163,1000,200.235439
2835.681874,1000,202.00862
1737.899845,555,206.392887
2540.164076,1000,208.143178
1597.71604,510,209.054941
161.854741,58,209.153352
2808.326566,1000,212.893522
1509.332732,517,213.861568
439.474945,152,214.12448
1058.361075,351,214.713628
2506.610478,1000,216.790019
3112.111776,1000,218.382408
2344.492439,1000,223.085608
