policy_training_condition,policy_training_seed,command_leg,command_stage,mean_abs_command_proxy
nominal,5,back_left,applied,0.34554471751237287
nominal,5,back_left,raw,0.34554471751237287
nominal,5,back_right,applied,0.24131077139675616
nominal,5,back_right,raw,0.24131077139675616
nominal,5,front_left,applied,0.10619234388414767
nominal,5,front_left,raw,0.2123846877682954
nominal,5,front_right,applied,0.29113385899381244
nominal,5,front_right,raw,0.29113385899381244
nominal,6,back_left,applied,0.38537291347011926
nominal,6,back_left,raw,0.38537291347011926
nominal,6,back_right,applied,0.33655649813702326
nominal,6,back_right,raw,0.33655649813702326
nominal,6,front_left,applied,0.14669026106875388
nominal,6,front_left,raw,0.29338052213750776
nominal,6,front_right,applied,0.3712627962450264
nominal,6,front_right,raw,0.3712627962450264
nominal,7,back_left,applied,0.26252861746076955
nominal,7,back_left,raw,0.26252861746076955
nominal,7,back_right,applied,0.229101944776345
nominal,7,back_right,raw,0.229101944776345
nominal,7,front_left,applied,0.11500879426565949
nominal,7,front_left,raw,0.230017588531319
nominal,7,front_right,applied,0.16631676154683805
nominal,7,front_right,raw,0.16631676154683805
robust,5,back_left,applied,0.1890458709654398
robust,5,back_left,raw,0.1890458709654398
robust,5,back_right,applied,0.16822301828092892
robust,5,back_right,raw,0.16822301828092892
robust,5,front_left,applied,0.13324636216619978
robust,5,front_left,raw,0.2664927243323996
robust,5,front_right,applied,0.22138199963454386
robust,5,front_right,raw,0.22138199963454386
robust,6,back_left,applied,0.3706559371802956
robust,6,back_left,raw,0.3706559371802956
robust,6,back_right,applied,0.28101084450725466
robust,6,back_right,raw,0.28101084450725466
robust,6,front_left,applied,0.20102238626431204
robust,6,front_left,raw,0.40204477252862414
robust,6,front_right,applied,0.3444501250531524
robust,6,front_right,raw,0.3444501250531524
robust,7,back_left,applied,0.1663475316205527
robust,7,back_left,raw,0.1663475316205527
robust,7,back_right,applied,0.2024273964849766
robust,7,back_right,raw,0.2024273964849766
robust,7,front_left,applied,0.10785656423908652
robust,7,front_left,raw,0.21571312847817312
robust,7,front_right,applied,0.16779754516315876
robust,7,front_right,raw,0.16779754516315876
