policy_training_condition,policy_training_seed,remaining_strength,severity,episode_return,forward_distance,horizontal_distance,mean_forward_speed,mean_horizontal_speed,episode_length,early_termination_rate,episodes_averaged
nominal,5,0.0,Complete failure,2789.4696448005693,9.146969378376005,10.011743137303556,0.1829393875675201,0.2002348627460711,1000.0,0.0,40
nominal,5,0.5,Moderate damage,3239.8377672422816,29.700163269662983,30.53860200000838,0.5940032653932595,0.6107720400001676,1000.0,0.0,40
nominal,5,1.0,Healthy,3377.3500385748803,40.00487330551733,40.456990473099225,0.8000974661103466,0.8091398094619844,1000.0,0.0,10
nominal,6,0.0,Complete failure,2830.9819891915567,9.266534378640888,9.893541668851185,0.18533068757281773,0.19787083337702366,1000.0,0.0,40
nominal,6,0.5,Moderate damage,3038.8295714615642,24.96019507276632,25.336963371316024,0.49920390145532645,0.5067392674263205,1000.0,0.0,40
nominal,6,1.0,Healthy,3575.6126614578984,47.37180838630245,47.53320338432661,0.947436167726049,0.9506640676865322,1000.0,0.0,10
nominal,7,0.0,Complete failure,2816.210620153285,3.197922672233054,4.308239313359593,0.06395845344466104,0.08616478626719182,1000.0,0.0,40
nominal,7,0.5,Moderate damage,3124.094681743993,17.219550392933794,17.776650802395427,0.3443910078586759,0.3555330160479085,1000.0,0.0,40
nominal,7,1.0,Healthy,3127.9068121392575,17.420036877611814,17.524612481387994,0.3484007375522362,0.3504922496277598,1000.0,0.0,10
robust,5,0.0,Complete failure,2843.0017253082806,4.749266872462772,4.967506162459755,0.09498533744925539,0.09935012324919507,1000.0,0.0,40
robust,5,0.5,Moderate damage,3024.8312773095804,13.347923735641334,14.058590578911089,0.2669584747128267,0.28117181157822174,1000.0,0.0,40
robust,5,1.0,Healthy,3094.568248050015,17.523568843093067,17.762355635084578,0.3504713768618613,0.3552471127016915,1000.0,0.0,10
robust,6,0.0,Complete failure,2608.214417193148,13.938099161711367,15.136989746700115,0.2787619832342273,0.30273979493400227,1000.0,0.0,40
robust,6,0.5,Moderate damage,3694.4079362105695,62.46068310680548,64.27944125614344,1.2492136621361094,1.2855888251228689,1000.0,0.0,40
robust,6,1.0,Healthy,3705.7959434955496,72.3679596546311,73.32283463906904,1.4947356491325194,1.51414559704388,965.7,0.1,10
robust,7,0.0,Complete failure,2995.5068963945573,9.632813764499462,10.060604534509096,0.19265627528998916,0.2012120906901819,1000.0,0.0,40
robust,7,0.5,Moderate damage,3055.2616994624486,12.779127723687333,12.936927969014608,0.2555825544737466,0.2587385593802921,1000.0,0.0,40
robust,7,1.0,Healthy,3047.2341234118912,15.04980010538639,15.103048053107582,0.3023945949761697,0.3034717541907426,995.0,0.1,10
