policy_training_condition,policy_training_seed,tag,environment_steps,value
nominal,5,rollout/ep_rew_mean,8192,66.26668548583984
nominal,5,rollout/ep_rew_mean,16384,58.63314437866211
nominal,5,rollout/ep_rew_mean,24576,92.05046844482422
nominal,5,rollout/ep_rew_mean,32768,88.76327514648438
nominal,5,rollout/ep_rew_mean,40960,119.51594543457031
nominal,5,rollout/ep_rew_mean,49152,102.47344207763672
nominal,5,rollout/ep_rew_mean,57344,104.18275451660156
nominal,5,rollout/ep_rew_mean,65536,139.3522186279297
nominal,5,rollout/ep_rew_mean,73728,161.67230224609375
nominal,5,rollout/ep_rew_mean,81920,159.99073791503906
nominal,5,rollout/ep_rew_mean,90112,144.01388549804688
nominal,5,rollout/ep_rew_mean,98304,142.2928466796875
nominal,5,rollout/ep_rew_mean,106496,178.85784912109375
nominal,5,rollout/ep_rew_mean,114688,185.19297790527344
nominal,5,rollout/ep_rew_mean,122880,217.70346069335938
nominal,5,rollout/ep_rew_mean,131072,192.19613647460938
nominal,5,rollout/ep_rew_mean,139264,187.30751037597656
nominal,5,rollout/ep_rew_mean,147456,178.2374725341797
nominal,5,rollout/ep_rew_mean,155648,196.2755889892578
nominal,5,rollout/ep_rew_mean,163840,183.26771545410156
nominal,5,rollout/ep_rew_mean,172032,198.4379425048828
nominal,5,rollout/ep_rew_mean,180224,239.06590270996094
nominal,5,rollout/ep_rew_mean,188416,201.2063751220703
nominal,5,rollout/ep_rew_mean,196608,189.79739379882812
nominal,5,rollout/ep_rew_mean,204800,226.84286499023438
nominal,5,rollout/ep_rew_mean,212992,251.02064514160156
nominal,5,rollout/ep_rew_mean,221184,235.6775360107422
nominal,5,rollout/ep_rew_mean,229376,210.20294189453125
nominal,5,rollout/ep_rew_mean,237568,239.09463500976562
nominal,5,rollout/ep_rew_mean,245760,252.32962036132812
nominal,5,rollout/ep_rew_mean,253952,288.7888488769531
nominal,5,rollout/ep_rew_mean,262144,226.5534210205078
nominal,5,rollout/ep_rew_mean,270336,157.77890014648438
nominal,5,rollout/ep_rew_mean,278528,198.28587341308594
nominal,5,rollout/ep_rew_mean,286720,235.3394012451172
nominal,5,rollout/ep_rew_mean,294912,255.54119873046875
nominal,5,rollout/ep_rew_mean,303104,204.54043579101562
nominal,5,rollout/ep_rew_mean,311296,190.69564819335938
nominal,5,rollout/ep_rew_mean,319488,221.6753692626953
nominal,5,rollout/ep_rew_mean,327680,212.39462280273438
nominal,5,rollout/ep_rew_mean,335872,250.66639709472656
nominal,5,rollout/ep_rew_mean,344064,302.6723327636719
nominal,5,rollout/ep_rew_mean,352256,329.4166259765625
