design,policy_training_seed,tag,environment_steps,value
legacy,0,rollout/ep_len_mean,8192,83.73170471191406
legacy,0,rollout/ep_len_mean,16384,128.72999572753906
legacy,0,rollout/ep_len_mean,24576,113.66000366210938
legacy,0,rollout/ep_len_mean,32768,64.98999786376953
legacy,0,rollout/ep_len_mean,40960,109.87000274658203
legacy,0,rollout/ep_len_mean,49152,109.41999816894531
legacy,0,rollout/ep_len_mean,57344,121.98999786376953
legacy,0,rollout/ep_len_mean,65536,154.10000610351562
legacy,0,rollout/ep_len_mean,73728,131.10000610351562
legacy,0,rollout/ep_len_mean,81920,143.75999450683594
legacy,0,rollout/ep_len_mean,90112,127.20999908447266
legacy,0,rollout/ep_len_mean,98304,92.25
legacy,0,rollout/ep_len_mean,106496,101.75
legacy,0,rollout/ep_len_mean,114688,114.38999938964844
legacy,0,rollout/ep_len_mean,122880,104.11000061035156
legacy,0,rollout/ep_len_mean,131072,81.52999877929688
legacy,0,rollout/ep_len_mean,139264,73.77999877929688
legacy,0,rollout/ep_len_mean,147456,45.22999954223633
legacy,0,rollout/ep_len_mean,155648,80.37000274658203
legacy,0,rollout/ep_len_mean,163840,135.6699981689453
legacy,0,rollout/ep_len_mean,172032,76.97000122070312
legacy,0,rollout/ep_len_mean,180224,65.72000122070312
legacy,0,rollout/ep_len_mean,188416,94.37999725341797
legacy,0,rollout/ep_len_mean,196608,97.75
legacy,0,rollout/ep_len_mean,204800,50.02000045776367
legacy,0,rollout/ep_len_mean,212992,76.55999755859375
legacy,0,rollout/ep_len_mean,221184,76.87000274658203
legacy,0,rollout/ep_len_mean,229376,61.97999954223633
legacy,0,rollout/ep_len_mean,237568,62.65999984741211
legacy,0,rollout/ep_len_mean,245760,113.5199966430664
legacy,0,rollout/ep_len_mean,253952,63.13999938964844
legacy,0,rollout/ep_len_mean,262144,61.470001220703125
legacy,0,rollout/ep_len_mean,270336,53.369998931884766
legacy,0,rollout/ep_len_mean,278528,94.4800033569336
legacy,0,rollout/ep_len_mean,286720,67.4000015258789
legacy,0,rollout/ep_len_mean,294912,68.94999694824219
legacy,0,rollout/ep_len_mean,303104,99.58999633789062
legacy,0,rollout/ep_len_mean,311296,75.47000122070312
